year,month,format,sst_mean,sst_std,t2m_mean,delta_T_mean,delta_T_std,n_hours
1983,07,nc,301.8079528808594,0.39219531416893005,299.8752136230469,-1.9327346086502075,0.710188627243042,744
1984,07,nc,300.6003112792969,0.28321269154548645,299.2044372558594,-1.3958507776260376,0.5571296215057373,744
1985,07,nc,300.73028564453125,0.3135035037994385,299.16815185546875,-1.5621408224105835,0.6627147793769836,744
1986,07,nc,301.0116882324219,0.37804171442985535,299.5403137207031,-1.4713554382324219,0.5655646324157715,744
1987,07,nc,302.2662658691406,0.4172819256782532,300.2235412597656,-2.042726516723633,0.7250203490257263,744
1988,07,nc,302.24468994140625,0.3765855133533478,299.8126220703125,-2.432044506072998,0.5506376028060913,744
1989,07,nc,300.9866943359375,0.6165761947631836,299.4616394042969,-1.5250693559646606,0.6346210837364197,744
1990,07,nc,300.9058532714844,0.42696815729141235,299.4703063964844,-1.4355591535568237,0.47705894708633423,744
1991,07,nc,301.4750671386719,0.5925450921058655,299.63031005859375,-1.8447662591934204,0.5615867376327515,744
1992,07,nc,301.5225524902344,0.41592273116111755,299.90020751953125,-1.6223762035369873,0.7695364356040955,744
1993,07,nc,301.8695068359375,0.49528181552886963,299.9847106933594,-1.8848105669021606,0.6101508736610413,744
1994,07,nc,300.9309997558594,0.295771986246109,299.34088134765625,-1.5901292562484741,0.45411181449890137,744
1995,07,nc,301.3736877441406,0.5929321646690369,299.804443359375,-1.569200038909912,0.6249654293060303,744
1996,07,nc,300.8937683105469,0.6805274486541748,299.4320373535156,-1.4617410898208618,0.539962887763977,744
1997,07,nc,301.8049621582031,0.35159605741500854,300.05548095703125,-1.7494611740112305,0.7533672451972961,744
1998,07,nc,301.7538757324219,0.43154290318489075,300.0696716308594,-1.6842063665390015,0.6657187342643738,744
1999,07,nc,300.94989013671875,0.3454902470111847,299.4813537597656,-1.4685455560684204,0.5273747444152832,744
2000,07,nc,301.25860595703125,0.4173521101474762,299.59423828125,-1.664345383644104,0.7001091837882996,744
2001,07,nc,301.02410888671875,0.20748256146907806,299.31219482421875,-1.7119137048721313,0.4962988495826721,744
2002,07,nc,301.67559814453125,0.24886932969093323,300.07073974609375,-1.60486900806427,0.6519133448600769,744
2003,07,nc,302.1004638671875,0.37315833568573,299.8962707519531,-2.204197645187378,0.7120033502578735,744
2004,07,nc,301.9013671875,0.4190807342529297,299.65472412109375,-2.2466275691986084,0.6436777710914612,744
2005,07,nc,301.6919250488281,0.41161125898361206,299.9864196777344,-1.7054941654205322,0.6155149340629578,744
2006,07,nc,301.2127990722656,0.3595767915248871,299.5925598144531,-1.6201975345611572,0.5780688524246216,744
2007,07,nc,301.82989501953125,0.41389793157577515,300.0976257324219,-1.7322630882263184,0.6670737862586975,744
2008,07,nc,301.32208251953125,0.24763740599155426,299.7447814941406,-1.577294945716858,0.6431246399879456,744
2009,07,nc,301.2550048828125,0.6732850074768066,299.6522521972656,-1.6027593612670898,0.7171539068222046,744
2010,07,grib,302.0686340332031,0.5006654262542725,299.89678955078125,-2.1718504428863525,0.5659836530685425,744
2011,07,grib,301.354248046875,0.5332004427909851,299.5100402832031,-1.8442312479019165,0.6749083399772644,744
2012,07,grib,301.7296142578125,0.31340837478637695,299.9614562988281,-1.7681810855865479,0.6226550936698914,744
2013,07,grib,300.7655334472656,0.36606281995773315,299.1021423339844,-1.6633810997009277,0.47157415747642517,744
2014,07,grib,301.7734069824219,0.5622975826263428,299.8031921386719,-1.9702062606811523,0.6208845376968384,744
